Ind.ID pred.pop pop_A pop_B pop_C
X.01 pop_A 0.580873088232016 0.405210137407429 0.0139167743605548
X.02 pop_B 0.352238164770771 0.639169205899219 0.00859262933001003
X.03 pop_B 0.477097427284847 0.510147182671483 0.0127553900436698
X.04 pop_A 0.646905547652812 0.350572482937122 0.00252196941006554
X.05 pop_A 0.627608422145772 0.358051820271911 0.0143397575823172
X.06 pop_B 0.417838343872491 0.571629209162525 0.0105324469649834
X.07 pop_A 0.599261010809258 0.393249039367486 0.00748994982325659
X.08 pop_A 0.566602115219253 0.425246724651172 0.00815116012957533
X.09 pop_A 0.604190072100306 0.388907148739788 0.00690277915990574
X.10 pop_A 0.524274216347079 0.46878371101255 0.00694207264037087
X.11 pop_B 0.251479987729497 0.741183817673299 0.00733619459720459
X.12 pop_B 0.245545721933144 0.742266616627985 0.0121876614388705
X.13 pop_B 0.310889551527648 0.679444722227431 0.00966572624492086
X.14 pop_B 0.195422074008622 0.797757524278317 0.00682040171306165
X.15 pop_B 0.186351804487715 0.808107239080664 0.00554095643162084
X.16 pop_B 0.198327517796233 0.800821165130995 0.000851317072771693
X.17 pop_B 0.198171875923845 0.796607447497695 0.00522067657845976
X.18 pop_B 0.24137973998558 0.752625222036036 0.00599503797838324
X.19 pop_B 0.196879805288933 0.798346102489984 0.00477409222108267
X.20 pop_B 0.162942804771227 0.829516829447294 0.00754036578147915
X.21 pop_C 0.010536236825577 0.00564612978041016 0.983817633394013
X.22 pop_C 0.0347236218708711 0.0710511144469974 0.894225263682131
X.23 pop_C 0.0423680011007108 0.0824858969414181 0.875146101957871
X.24 pop_C 0.0128375902026062 0.0133453614731013 0.973817048324293
X.25 pop_C 0.0066283917830354 0.00302869964681453 0.99034290857015
X.26 pop_C 0.0258692015477559 0.0498852841188753 0.924245514333369
X.27 pop_C 0.00756283944434076 0.0139686524675444 0.978468508088115
X.28 pop_C 0.0206167646444252 0.0238861782576377 0.955497057097937
X.29 pop_C 0.00962849110265628 0.00383709242000072 0.986534416477343
X.30 pop_C 0.0422492783722346 0.0773926402269805 0.880358081400785
